"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72219013874","2020-05-10T00:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","33","49","0.00",,"+0.02","5","55","30.20","SCT:04 250","29.10","10.00","42","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11605/10/20 00:52:02 METAR KATL 100552Z 00000KT 10SM SCT250 09/01 A3020 RMK AO2 SLP226 T00940006 10156 20094 55007 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T01:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33","49",,,"+0.02","5","55","30.20",,"29.09","9.94","42","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072219 32966 40000 10094 20006 39851 40226 55007 90552 333 10156 20067 555 91006=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T01:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.19","32","51","0.00",,,,"48","30.19","BKN:07 250","29.09","10.00","43","020",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 01:52:02 METAR KATL 100652Z 02004KT 10SM BKN250 11/00 A3019 RMK AO2 SLP223 T01060000 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T02:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.21","35","47","0.00",,,,"63","30.20","BKN:07 250","29.11","10.00","42","270",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 02:52:02 METAR KATL 100752Z 27003KT 10SM BKN250 08/02 A3021 RMK AO2 SLP228 T00830017 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T03:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","34","47","0.00",,"+0.01","8","61","30.19","BKN:07 250","29.10","10.00","41","000",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10405/10/20 03:52:02 METAR KATL 100852Z 00000KT 10SM BKN250 08/01 A3020 RMK AO2 SLP224 T00830011 58002 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T04:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.20","35","44","0.00",,,,"71","30.21","SCT:04 250","29.10","10.00","40","310",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 04:52:02 METAR KATL 100952Z 31004KT 10SM SCT250 07/02 A3020 RMK AO2 SLP229 T00670017 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T05:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.22","35","44","0.00",,,,"71","30.22","SCT:04 250","29.12","10.00","40","310",,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 05:52:02 METAR KATL 101052Z 31003KT 10SM SCT250 07/02 A3022 RMK AO2 SLP234 T00670017 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T06:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.24","36","47","0.00",,"-0.05","3","66","30.24","FEW:02 200 SCT:04 250","29.14","10.00","42","320",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12305/10/20 06:52:02 METAR KATL 101152Z 32004KT 10SM FEW200 SCT250 08/02 A3024 RMK AO2 SLP242 T00830022 10106 20056 53016 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T07:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36","47",,,"-0.05","3","66","30.24",,"29.13","9.94","42","320",,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072219 32966 43204 10083 20022 39864 40242 53016 91152 333 10189 20056 555 91012=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
"72219013874","2020-05-10T07:52:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.25","35","54","0.00",,,,"49","30.25","FEW:02 250","29.15","10.00","45","070",,"6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET09805/10/20 07:52:02 METAR KATL 101252Z 07005KT 10SM FEW250 12/02 A3025 RMK AO2 SLP244 T01220017 (DB)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2007-03-27"
